Date,Age,Year,Month,x,xlog,t,trend
1981-01-01,0,1981,1,1,0,1,0.0025252525
1981-01-01,1,1981,1,116,4.7535901911,1,0.0025252525
1981-01-01,2,1981,1,137,4.9199809258,1,0.0025252525
1981-01-01,3,1981,1,119,4.7791234931,1,0.0025252525
1981-01-01,4,1981,1,130,4.8675344505,1,0.0025252525
1981-01-01,5,1981,1,127,4.8441870865,1,0.0025252525
1981-01-01,6,1981,1,146,4.9836066217,1,0.0025252525
1981-01-01,7,1981,1,123,4.8121843554,1,0.0025252525
1981-01-01,8,1981,1,92,4.521788577,1,0.0025252525
1981-01-01,9,1981,1,109,4.6913478822,1,0.0025252525
1981-01-01,10,1981,1,119,4.7791234931,1,0.0025252525
1981-01-01,11,1981,1,102,4.6249728133,1,0.0025252525
1981-01-01,12,1981,1,110,4.7004803658,1,0.0025252525
1981-01-01,13,1981,1,109,4.6913478822,1,0.0025252525
1981-01-01,14,1981,1,104,4.6443908991,1,0.0025252525
1981-01-01,15,1981,1,104,4.6443908991,1,0.0025252525
1981-01-01,16,1981,1,116,4.7535901911,1,0.0025252525
1981-01-01,17,1981,1,169,5.1298987149,1,0.0025252525
1981-01-01,18,1981,1,183,5.2094861528,1,0.0025252525
1981-01-01,19,1981,1,236,5.463831805,1,0.0025252525
1981-01-01,20,1981,1,255,5.5412635452,1,0.0025252525
1981-01-01,21,1981,1,312,5.7430031878,1,0.0025252525
1981-01-01,22,1981,1,289,5.6664266881,1,0.0025252525
1981-01-01,23,1981,1,299,5.7004435734,1,0.0025252525
1981-01-01,24,1981,1,299,5.7004435734,1,0.0025252525
1981-01-01,25,1981,1,288,5.6629604801,1,0.0025252525
1981-01-01,26,1981,1,247,5.5093883366,1,0.0025252525
1981-01-01,27,1981,1,236,5.463831805,1,0.0025252525
1981-01-01,28,1981,1,238,5.4722706737,1,0.0025252525
1981-01-01,29,1981,1,209,5.342334252,1,0.0025252525
1981-01-01,30,1981,1,185,5.2203558251,1,0.0025252525
1981-01-01,31,1981,1,175,5.1647859739,1,0.0025252525
1981-01-01,32,1981,1,164,5.0998664278,1,0.0025252525
1981-01-01,33,1981,1,159,5.0689042022,1,0.0025252525
1981-01-01,34,1981,1,141,4.9487598904,1,0.0025252525
1981-01-01,35,1981,1,144,4.9698132996,1,0.0025252525
1981-01-01,36,1981,1,108,4.6821312271,1,0.0025252525
1981-01-01,37,1981,1,102,4.6249728133,1,0.0025252525
1981-01-01,38,1981,1,87,4.4659081187,1,0.0025252525
1981-01-01,39,1981,1,83,4.4188406078,1,0.0025252525
1981-01-01,40,1981,1,81,4.3944491547,1,0.0025252525
1981-01-01,41,1981,1,89,4.4886363697,1,0.0025252525
1981-01-01,42,1981,1,72,4.276666119,1,0.0025252525
1981-01-01,43,1981,1,74,4.3040650932,1,0.0025252525
1981-01-01,44,1981,1,60,4.0943445622,1,0.0025252525
1981-01-01,45,1981,1,50,3.9120230054,1,0.0025252525
1981-01-01,46,1981,1,56,4.0253516907,1,0.0025252525
1981-01-01,47,1981,1,54,3.9889840466,1,0.0025252525
1981-01-01,48,1981,1,62,4.127134385,1,0.0025252525
1981-01-01,49,1981,1,47,3.8501476017,1,0.0025252525
1981-01-01,50,1981,1,35,3.5553480615,1,0.0025252525
1981-01-01,51,1981,1,53,3.9702919136,1,0.0025252525
1981-01-01,52,1981,1,41,3.7135720667,1,0.0025252525
1981-01-01,53,1981,1,33,3.4965075615,1,0.0025252525
1981-01-01,54,1981,1,44,3.7841896339,1,0.0025252525
1981-01-01,55,1981,1,35,3.5553480615,1,0.0025252525
1981-01-01,56,1981,1,30,3.4011973817,1,0.0025252525
1981-01-01,57,1981,1,35,3.5553480615,1,0.0025252525
1981-01-01,58,1981,1,39,3.6635616461,1,0.0025252525
1981-01-01,59,1981,1,40,3.6888794541,1,0.0025252525
1981-01-01,60,1981,1,40,3.6888794541,1,0.0025252525
1981-01-01,61,1981,1,37,3.6109179126,1,0.0025252525
1981-01-01,62,1981,1,22,3.0910424534,1,0.0025252525
1981-01-01,63,1981,1,24,3.1780538303,1,0.0025252525
1981-01-01,64,1981,1,24,3.1780538303,1,0.0025252525
1981-01-01,65,1981,1,30,3.4011973817,1,0.0025252525
1981-01-01,66,1981,1,38,3.6375861597,1,0.0025252525
1981-01-01,67,1981,1,38,3.6375861597,1,0.0025252525
1981-01-01,68,1981,1,43,3.7612001157,1,0.0025252525
1981-01-01,69,1981,1,39,3.6635616461,1,0.0025252525
1981-01-01,70,1981,1,41,3.7135720667,1,0.0025252525
1981-01-01,71,1981,1,52,3.9512437186,1,0.0025252525
1981-01-01,72,1981,1,43,3.7612001157,1,0.0025252525
1981-01-01,73,1981,1,36,3.5835189385,1,0.0025252525
1981-01-01,74,1981,1,35,3.5553480615,1,0.0025252525
1981-01-01,75,1981,1,37,3.6109179126,1,0.0025252525
1981-01-01,76,1981,1,32,3.4657359028,1,0.0025252525
1981-01-01,77,1981,1,29,3.36729583,1,0.0025252525
1981-01-01,78,1981,1,18,2.8903717579,1,0.0025252525
1981-01-01,79,1981,1,13,2.5649493575,1,0.0025252525
1981-01-01,80,1981,1,12,2.4849066498,1,0.0025252525
1981-01-01,81,1981,1,6,1.7917594692,1,0.0025252525
1981-01-01,82,1981,1,5,1.6094379124,1,0.0025252525
1981-01-01,83,1981,1,4,1.3862943611,1,0.0025252525
1981-01-01,84,1981,1,3,1.0986122887,1,0.0025252525
1981-01-01,85,1981,1,4,1.3862943611,1,0.0025252525
1981-01-01,86,1981,1,5,1.6094379124,1,0.0025252525
1981-01-01,87,1981,1,3,1.0986122887,1,0.0025252525
1981-01-01,88,1981,1,3,1.0986122887,1,0.0025252525
1981-01-01,89,1981,1,4,1.3862943611,1,0.0025252525
1981-01-01,90,1981,1,1,0,1,0.0025252525
1981-01-01,91,1981,1,1,0,1,0.0025252525
1981-01-01,93,1981,1,1,0,1,0.0025252525
1981-01-01,98,1981,1,1,0,1,0.0025252525
1981-02-01,1,1981,2,173,5.1532915945,2,0.0050505051
1981-02-01,2,1981,2,170,5.1357984371,2,0.0050505051
1981-02-01,3,1981,2,136,4.9126548857,2,0.0050505051
1981-02-01,4,1981,2,134,4.8978398,2,0.0050505051
1981-02-01,5,1981,2,134,4.8978398,2,0.0050505051
1981-02-01,6,1981,2,147,4.9904325868,2,0.0050505051
1981-02-01,7,1981,2,133,4.8903491282,2,0.0050505051
1981-02-01,8,1981,2,121,4.7957905456,2,0.0050505051
1981-02-01,9,1981,2,127,4.8441870865,2,0.0050505051
1981-02-01,10,1981,2,119,4.7791234931,2,0.0050505051
1981-02-01,11,1981,2,122,4.8040210447,2,0.0050505051
1981-02-01,12,1981,2,106,4.6634390941,2,0.0050505051
1981-02-01,13,1981,2,112,4.7184988713,2,0.0050505051
1981-02-01,14,1981,2,111,4.7095302013,2,0.0050505051
1981-02-01,15,1981,2,127,4.8441870865,2,0.0050505051
1981-02-01,16,1981,2,152,5.0238805208,2,0.0050505051
1981-02-01,17,1981,2,201,5.3033049081,2,0.0050505051
1981-02-01,18,1981,2,218,5.3844950628,2,0.0050505051
