Year,Date,Month,x,xlog,t,trend
1981,1981-01-01,1,8226,9.0150551488,1,0.0025252525
1981,1981-02-01,2,9105,9.1165789922,2,0.0050505051
1981,1981-03-01,3,8186,9.0101806571,3,0.0075757576
1981,1981-04-01,4,4581,8.4296725939,4,0.0101010101
1981,1981-05-01,5,5430,8.5996944129,5,0.0126262626
1981,1981-06-01,6,6256,8.7412962822,6,0.0151515152
1981,1981-07-01,7,5062,8.5295169411,7,0.0176767677
1981,1981-08-01,8,7441,8.9147605274,8,0.0202020202
1981,1981-09-01,9,7744,8.954673629,9,0.0227272727
1981,1981-10-01,10,6578,8.7914860267,10,0.0252525253
1981,1981-11-01,11,8697,9.0707334176,11,0.0277777778
1981,1981-12-01,12,5203,8.5569906613,12,0.0303030303
1982,1982-01-01,1,7361,8.9039510721,13,0.0328282828
1982,1982-02-01,2,6968,8.8490835185,14,0.0353535354
1982,1982-03-01,3,7845,8.9676316652,15,0.0378787879
1982,1982-04-01,4,5419,8.5976665756,16,0.0404040404
1982,1982-05-01,5,4942,8.5055253865,17,0.0429292929
1982,1982-06-01,6,5979,8.6960086089,18,0.0454545455
1982,1982-07-01,7,5969,8.6943346882,19,0.047979798
1982,1982-08-01,8,4797,8.4757460015,20,0.0505050505
1982,1982-09-01,9,5817,8.6685399439,21,0.053030303
1982,1982-10-01,10,8031,8.9910643322,22,0.0555555556
1982,1982-11-01,11,7848,8.9680140012,23,0.0580808081
1982,1982-12-01,12,5217,8.559677803,24,0.0606060606
1983,1983-01-01,1,6726,8.8137358923,25,0.0631313131
1983,1983-02-01,2,4637,8.4418228844,26,0.0656565657
1983,1983-03-01,3,4237,8.3516107506,27,0.0681818182
1983,1983-04-01,4,4000,8.2940496401,28,0.0707070707
1983,1983-05-01,5,4578,8.4290175005,29,0.0732323232
1983,1983-06-01,6,4339,8.3753991858,30,0.0757575758
1983,1983-07-01,7,4373,8.3832045514,31,0.0782828283
1983,1983-08-01,8,4107,8.320448114,32,0.0808080808
1983,1983-09-01,9,5398,8.5937837936,33,0.0833333333
1983,1983-10-01,10,6016,8.7021778656,34,0.0858585859
1983,1983-11-01,11,6536,8.7850806365,35,0.0883838384
